Seq,Group,Type,SKU,2021 MAPP,2021 List
184,KIT,Roof,8596A,$167.60 ,$209.50 
185,LAN,Ext,8366,$31.20 ,$39.00 
186,LAN,Ext,8366L,$28.00 ,$35.00 
187,LAN,POS,8250,$98.00 ,$122.50 
188,LAN,POS,825012W,$76.00 ,$95.00 
189,LAN,POS,8250LT,$77.60 ,$97.00 
190,LAN,POS,8252,$68.80 ,$86.00 
191,LAN,POS,8252LT,$53.20 ,$66.50 
192,LAN,Rest,8204,$32.40 ,$40.50 
193,LAN,Rest,8206,$33.20 ,$41.50 
194,LAN,Rest,8209,$35.20 ,$44.00 
195,RESQ,COMP,68030T,$321.60 ,$402.00 
196,RESQ,KIT ,6814150K,"$1,742.40 ","$2,178.00 "
197,SRL,A/F,72906SC1,$196.00 ,$245.00 
198,SRL,A/F,72906SC3,$244.80 ,$306.00 
199,SRL,CON,727620,$338.00 ,$422.50 
200,SRL,CON,727630,$375.20 ,$469.00 
201,SRL,CON,727650,$511.20 ,$639.00 
202,SRL,DT10,82710SA1,$143.20 ,$179.00 
203,SRL,DT10,82710SC1,$162.40 ,$203.00 
204,SRL,DT10,82710SC3,$180.80 ,$226.00 
205,SRL,DT10,82710SG4,$180.00 ,$225.00 
206,SRL,DT6,82706SB1,$151.20 ,$189.00 
207,SRL,DT6,82706TB1,$284.80 ,$356.00 
208,SRL,DT6,82706TB3,$326.40 ,$408.00 
209,SRL,DT6,82706TB5,$346.40 ,$433.00 
210,SRL,DT6,82706TB6,$318.00 ,$397.50 
211,SRL,DT9C,83709SB7,$192.80 ,$241.00 
212,SRL,Dtech C,7226C,$461.20 ,$576.50 
213,SRL,Dtech C,7227C,$466.80 ,$583.50 
214,SRL,Dtech C,7229C,$501.20 ,$626.50 
215,SRL,Dtech C,7232C,$512.40 ,$640.50 
216,SRL,Dtech C,7265C,$636.80 ,$796.00 
217,SRL,Dtech C,7268C,$621.60 ,$777.00 
218,SRL,Dtech LE,7226CLE,$509.60 ,$637.00 
219,SRL,Dtech LE,7227CLE,$534.00 ,$667.50 
220,SRL,Dtech LE,7232CLE,$574.40 ,$718.00 
221,SRL,Dtech LE,7265CLE,$739.20 ,$924.00 
222,SRL,LE,727620LE,$445.20 ,$556.50 
223,SRL,LE,727630LE,$457.60 ,$572.00 
224,SRL,LE,727650LE,$562.80 ,$703.50 
225,SRL,Max,82709SA1,$197.20 ,$246.50 
226,SRL,Max,82709SA4,$208.00 ,$260.00 
227,SRL,Max,82709TB1,$415.20 ,$519.00 
228,SRL,Max,82709TB3,$449.60 ,$562.00 
229,SRL,Mini,72706SA1,$120.40 ,$150.50 
230,SRL,Mini,72706SB1,$138.40 ,$173.00 
231,SRL,Mini,72706TB1,$263.20 ,$329.00 
232,SRL,Mini,72706TB3,$298.40 ,$373.00 
233,SRL,Mini,72706TB5,$320.00 ,$400.00 
234,SRL,Mini,72706TH3,$323.20 ,$404.00 
235,SRL,Mini,72706TH5,$342.00 ,$427.50 
236,SRL,Mini,74709SB8,$188.40 ,$235.50 
237,SRL,Mini,74709TB8,$361.60 ,$452.00 
238,SRL,Vault,83909SP1,$224.00 ,$280.00 
239,SRL,Vault,83909SP3,$240.00 ,$300.00 
240,SRL,Vault,83909SP5,$244.00 ,$305.00 
241,SRL,Vault,83909SP6,$244.00 ,$305.00 
242,SRL,Vault,83909TP1,$388.00 ,$485.00 
243,SRL,Vault,83909TP3,$399.20 ,$499.00 
244,SRL,Vault,83909TP5,$408.00 ,$510.00 
245,SRL,Vault,83909TP6,$408.00 ,$510.00 
246,SRL,Web,8262,$202.00 ,$252.50 
247,SRL,Web,7276BWR,$304.80 ,$381.00 
248,VLL,Grab,7479,$72.40 ,$90.50 
249,VLL,Grab,7489,$76.40 ,$95.50 
250,VLL,Grab,7491,$82.80 ,$103.50 
251,VLL,Grab,8358,$98.00 ,$122.50 
252,VLL,Grab,8388,$111.20 ,$139.00 
253,VLL,Rope,8125,$49.60 ,$62.00 
254,VLL,Rope,8149,$70.00 ,$87.50 
255,VLL,Rope,8150,$75.60 ,$94.50 
256,VLL,Rope,8200,$110.80 ,$138.50 
257,VLL,Rope,8150DH,$80.40 ,$100.50 
258,VLL,Rope,8150T,$74.80 ,$93.50 
259,VLL,Rope,8200DH,$117.20 ,$146.50 
260,ACC,Misc,5040,$26.80 ,$33.50 
261,ACC,TLAN,5027B,$10.00 ,$12.50 
262,ACC,TLAN,5027B10,$81.60 ,$102.00 
263,ACC,TLAN,5029B,$12.00 ,$15.00 
264,ACC,TLAN,5029B10,$110.80 ,$138.50 
,,,,,
,,,,V1 10.28.20,
